Region_förkortning	Region_omrade	WD_region	Region_storområde	Region_ordning
FL	Finland	Q33	Finland	1
NL	Nyland	Q5711	Finland	2
SK	Satakunta	Q5709	Finland	3
ÅB	Åboland	Q270803	Finland	4
ÅL	Åland	Q5689	Finland	5
ÖB	Österbotten	Q5702	Finland	6
sFL	södra Finland (Åland, Åboland och Nyland)		Finland	7
Kb	Karleby	Q207891	norra Österbotten	8
Nv	Nedervetil	Q3366117	norra Österbotten	9
Tj	Terjärv	Q3433766	norra Österbotten	10
Kr	Kronoby	Q1789963	norra Österbotten	11
Öj	Öja	Q294786	norra Österbotten	12
La	Larsmo	Q259863	norra Österbotten	13
Ee	Esse	Q3352066	norra Österbotten	14
Pe	Pedersöre	Q385194	norra Österbotten	15
Pu	Purmo	Q510303	norra Österbotten	16
Nb	Nykarleby	Q664599	norra Österbotten	17
Je	Jeppo	Q3366120	norra Österbotten	18
Mu	Munsala	Q3432469	norra Österbotten	19
Or	Oravais	Q2028417	mellersta Österbotten	20
Vö	Vörå	Q2156306	mellersta Österbotten	21
Mm	Maxmo	Q1914328	mellersta Österbotten	22
Kv	Kvevlax	Q3366137	mellersta Österbotten	23
Bj	Björköby	Q15199541	mellersta Österbotten	24
Re	Replot	Q732856	mellersta Österbotten	25
Kh	Korsholm	Q1784789	mellersta Österbotten	26
Sv	Solf	Q3434081	mellersta Österbotten	27
Ma	Malax	Q1886842	södra Österbotten	28
Be	Bergö	Q672625	södra Österbotten	29
Pl	Petalax	Q6306123	södra Österbotten	30
Pö	Pörtom	Q3366128	södra Österbotten	31
Kn	Korsnäs	Q1498986	södra Österbotten	32
Öv	Övermark	Q10728642	södra Österbotten	33
Nä	Närpes	Q781249	södra Österbotten	34
Tk	Tjöck	Q3433745	södra Österbotten	35
Lf	Lappfjärd	Q3434093	södra Österbotten	36
Sb	Sideby	Q3434073	södra Österbotten	37
Sm	Sastmola	Q1009215	Satakunta	38
Vb	Vittisbofjärd	Q400342	Satakunta	39
Ec	Eckerö	Q51909	västra Åland	40
Ha	Hammarland	Q134685	västra Åland	41
Ge	Geta	Q134675	västra Åland	42
Fi	Finström	Q51914	västra Åland	43
Jo	Jomala	Q176178	västra Åland	44
Mh	Mariehamn	Q48329	västra Åland	45
Sa	Saltvik	Q176196	västra Åland	46
Su	Sund	Q176201	västra Åland	47
Vå	Vårdö	Q179749	västra Åland	48
Le	Lemland	Q176186	västra Åland	49
Lu	Lumparland	Q176191	västra Åland	50
Kö	Kökar	Q179730	östra Åland	51
Fö	Föglö	Q179722	östra Åland	52
So	Sottunga	Q179739	östra Åland	53
Ku	Kumlinge	Q179726	östra Åland	54
Bö	Brändö	Q179706	östra Åland	55
Iö	Iniö	Q1025692	västra Åboland	56
Ho	Houtskär	Q1025722	västra Åboland	57
Ko	Korpo	Q305440	västra Åboland	58
Na	Nagu	Q203512	västra Åboland	59
Pa	Pargas	Q13405837	västra Åboland	60
Pa	Pargas	Q13405837	östra Åboland	61
Ki	Kimito	Q425790	östra Åboland	62
Df	Dragsfjärd	Q1009619	östra Åboland	63
Vf	Västanfjärd	Q1641638	östra Åboland	64
Hi	Hitis	Q3434032	östra Åboland	65
Fb	Finby	Q1852674	östra Åboland	66
Br	Bromarv	Q926232	västra Nyland	67
Te	Tenala	Q1001768	västra Nyland	68
Po	Pojo	Q1010030	västra Nyland	69
En	Ekenäs	Q1004838	västra Nyland	70
Sn	Snappertuna	Q838697	västra Nyland	71
Ka	Karis	Q990581	västra Nyland	72
Kl	Karislojo	Q990572	västra Nyland	73
Lo	Lojo	Q214777	västra Nyland	74
Iå	Ingå	Q986331	västra Nyland	75
Db	Degerby	Q11855934	västra Nyland	76
Sj	Sjundeå	Q984931	mellersta Nyland	77
Ky	Kyrkslätt	Q748092	mellersta Nyland	78
Es	Esbo	Q47034	mellersta Nyland	79
Hf	Helsingfors	Q1757	mellersta Nyland	80
He	Helsinge	Q127623	mellersta Nyland	81
Tu	Tusby	Q214773	mellersta Nyland	82
Hj	Hausjärvi	Q369720	mellersta Nyland	83
Si	Sibbo	Q986320	östra Nyland	84
Bo	Borgå	Q193367	östra Nyland	85
Pä	Pernå	Q1005082	östra Nyland	86
Li	Liljendal	Q1005071	östra Nyland	87
Mö	Mörskom	Q999226	östra Nyland	88
Lt	Lappträsk	Q647849	östra Nyland	89
St	Strömfors	Q999193	östra Nyland	90
El	Elimä	Q1000113	östra Nyland	91
Py	Pyttis	Q990557	östra Nyland	92
